曲名,難易度,STDORDX,スコア
NAGAREBOSHI☆ROCKET,MAS,DX,1000095
躯樹の墓守,MAS,DX,995684
U&iVERSE -銀河鸞翔-,MAS,DX,1002443
Starry Colors,MAS,DX,1002801
STEEL TRANSONIC,MAS,DX,977343
Alea jacta est!,MAS,STD,1005348
蒼穹舞楽,MAS,DX,973943
Xenovcipher,MAS,DX,1003469
Never Give Up!,MAS,DX,932801
AMABIE,MAS,DX,977393
Last Samurai,MAS,DX,982942
Heavenly Blast,MAS,DX,992925
Glorious Crown,MAS,STD,1001014
Aiolos,MAS,STD,1002425
時計の国のジェミニ,MAS,DX,1007276
ほしぞらスペクタクル,MAS,DX,1001782
Aetheric Energy,MAS,DX,971451
BIRTH,MAS,DX,1003413
Beautiful Future,MAS,DX,1001936
Boys O’Clock,MAS,DX,1007141
ワンダーシャッフェンの法則,MAS,DX,1000419
Regulus,MAS,DX,988983
Komplexe,MAS,DX,999257
"≠彡""/了→",MAS,DX,992300
UniTas,MAS,DX,972659
GRÄNDIR,MAS,DX,1002945
Flashkick,MAS,DX,1006290
Ultranova,MAS,STD,1003302
Axeria,MAS,STD,1003086
Streak,MAS,STD,995089
Turn around,MAS,STD,985012
Link,MAS,STD,944000
アポカリプスに反逆の焔を焚べろ,MAS,DX,1000233
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,MAS,STD,976705
MYTHOS,MAS,STD,981543
四月の雨,MAS,STD,960555
FFT,MAS,STD,1003914
Panopticon,MAS,STD,1007448
CITRUS MONSTER,MAS,STD,1003116
D✪N’T  ST✪P  R✪CKIN’,MAS,STD,1003858
Lividi,MAS,STD,1006228
Jumble Rumble,MAS,STD,1000121
System “Z”,MAS,STD,990945
Nitrous Fury,MAS,STD,993721
雷切-RAIKIRI-,MAS,STD,997666
Mare Maris,MAS,STD,984843
魔ジョ狩リ,MAS,DX,1007021
Excalibur ～Revived resolution～,MAS,STD,970985
Caliburne ～Story of the Legendary sword～,MAS,STD,999164
LANCE,MAS,STD,1000913
Moon of Noon,MAS,STD,1000368
Dragoon,MAS,DX,983865
Death Scythe,MAS,STD,923455
Schwarzschild,MAS,STD,1000804
Fragrance,MAS,STD,934385
Revive The Rave,MAS,STD,1004794
Prophesy One,MAS,STD,1001563
AMAZING MIGHTYYYY!!!!,MAS,STD,1000467
larva,MAS,STD,981805
高気圧ねこロック,MAS,STD,1000554
ℝ∈Χ LUNATiCA,MAS,DX,990573
VERTeX,MAS,STD,1005103
ViRTUS,MAS,DX,999102
sølips,MAS,DX,988762
系ぎて,MAS,DX,999780
なんかノイズにきこえる,MAS,DX,1008383
Supersonic Generation,MAS,DX,997095
Zitronectar,MAS,DX,1006210
STARTLINER,MAS,DX,1009687
Jump!! Jump!! Jump!!,MAS,DX,993613
最強 the サマータイム!!!!!,MAS,DX,1003912
Splash Dance!!,MAS,DX,1003626
STARRED HEART,MAS,DX,1003299
Transcend Lights,MAS,DX,1008516
撩乱乙女†無双劇,MAS,DX,950017
最っ高のエンタメだ!!,MAS,DX,1007710
Y.Y.Y.計画!!!!,MAS,DX,1008682
ポケットからぬりつぶせ！,MAS,DX,985203
タテマエと本心の大乱闘,MAS,DX,1004789
ぱくぱく☆がーる,MAS,DX,1002677
まっすぐ→→→ストリーム！,MAS,DX,1003893
Radiance,MAS,DX,1002101
美夜月鏡,MAS,DX,1004633
MarbleBlue.,MAS,DX,1001244
Baqeela,MAS,DX,1006332
Ai C,MAS,DX,997132
Apollo,MAS,DX,989959
LAMIA,MAS,DX,994958
GEOMETRIC DANCE,MAS,DX,1005526
Last Kingdom,MAS,DX,1007396
FLUFFY FLASH,MAS,DX,1001146
Titania,MAS,DX,996275
YURUSHITE,MAS,DX,999895
BOUNCE & DANCE,MAS,DX,980345
MEGATON BLAST,MAS,DX,1005558
脳天直撃,MAS,DX,1000410
LiftOff,MAS,DX,1000325
Falsum Atlantis.,MAS,DX,1001857
See The Light,MAS,DX,996284
エータ・ベータ・イータ,MAS,DX,986778
"Good bye, Merry-Go-Round.",MAS,DX,1005322
MAGNETAR GIRL,MAS,DX,992734
SUPER AMBULANCE,MAS,DX,1005458
Don't Fight The Music,MAS,DX,1004230
『ウソテイ』 ～一回戦せりなvsしろなvsなずな～,MAS,DX,1003981
Change Our MIRAI！,MAS,STD,1001089
無敵We are one!!,MAS,STD,1008229
ハート・ビート,MAS,STD,1002960
猫祭り,MAS,STD,947631
奏者はただ背中と提琴で語るのみ,MAS,STD,995010
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,MAS,DX,994670
We Are Us,MAS,DX,1004375
Elemental Ethnic,MAS,DX,992780
Λzure Vixen,MAS,DX,1000205
MUSIC PЯAYER,MAS,DX,986294
SQUAD-Phvntom-,MAS,DX,1006490
インパアフェクシオン・ホワイトガアル,MAS,DX,999709
Ring,MAS,DX,1007055
WE'RE BACK!!,MAS,DX,1005129
Trrricksters!!,MAS,DX,1002382
蜘蛛の糸,MAS,DX,987456
ピュグマリオンの咒文,MAS,DX,1002705
Hainuwele,MAS,DX,1007136
コスモポップファンクラブ,MAS,DX,1000399
folern,MAS,DX,1006545
otorii INNOVATED -[i]3-,MAS,DX,998225
8-EM,MAS,DX,943176
PinqPiq (xovevox Remix),MAS,DX,1003879
閃鋼のブリューナク,MAS,STD,971053
宿星審判,MAS,DX,1003348
スピカの天秤,MAS,DX,1000177
ハードコア・シンドローム,MAS,DX,1001534
Infantoon Fantasy,MAS,STD,1005370
Climax,MAS,DX,998292
レーイレーイ,MAS,DX,951110
CHOCOLATE BOMB!!!!,MAS,DX,995294
はちみつアドベンチャー,MAS,DX,1006825
popcorn,MAS,DX,909928
Counselor,MAS,STD,1001277
The wheel to the right,MAS,STD,998015
光線チューニング,MAS,STD,996772
World Vanquisher,MAS,STD,989561
We Gonna Journey,MAS,STD,952722
My First Phone,MAS,STD,980793
怒槌,MAS,STD,988979
TiamaT:F minor,MAS,STD,997488
Kattobi KEIKYU Rider,MAS,STD,1004939
玩具狂奏曲 -終焉-,MAS,DX,896394
BOKUTO,MAS,DX,1004726
エンドマークに希望と涙を添えて,MAS,STD,987583
前前前世,EXP,STD,973472
廻廻奇譚,EXP,DX,996743
青春コンプレックス,EXP,DX,942056
おとせサンダー,EXP,DX,1009943
さくゆいたいそう,EXP,DX,908127
Dive into the ZONe,EXP,DX,1005920
モンダイナイトリッパー！,EXP,DX,1009357
あつすぎの歌,EXP,DX,1008790
ようこそジャパリパークへ,EXP,DX,1009375
若い力 -SEGA HARD GIRLS MIX-,EXP,STD,1008682
インドア系ならトラックメイカー,EXP,DX,984269
ゼロトーキング,EXP,DX,1009750
トンデモワンダーズ,EXP,DX,1005063
バグ,EXP,DX,964233
人マニア,EXP,DX,1008373
フォニイ,EXP,DX,971192
グッバイ宣言,EXP,DX,981919
星界ちゃんと可不ちゃんのおつかい合騒曲,EXP,DX,999924
きゅうくらりん,EXP,DX,962360
1000年生きてる,EXP,DX,899633
ノンブレス・オブリージュ,EXP,DX,982060
神っぽいな,EXP,DX,940406
魔法少女とチョコレゐト,EXP,DX,1007754
ヴァンパイア,EXP,DX,970975
ヒバナ,EXP,STD,998048
ゴーストルール,EXP,DX,1009339
ストリーミングハート,EXP,STD,1009041
妄想税,EXP,STD,1009312
ベノム,EXP,DX,782839
マネマネサイコトロピック,EXP,DX,996155
エゴロック,EXP,DX,1005565
ジャンキーナイトタウンオーケストラ,EXP,DX,950271
テレキャスタービーボーイ,EXP,DX,961609
マーシャル・マキシマイザー,EXP,DX,999582
オーバーライド,EXP,DX,1009905
新人類,EXP,DX,1008949
おくすり飲んで寝よう,EXP,DX,1010000
39,EXP,DX,874798
＊ハロー、プラネット。,EXP,DX,999561
テオ,EXP,DX,974456
アスノヨゾラ哨戒班,EXP,DX,833389
キミノヨゾラ哨戒班,EXP,STD,945140
初音天地開闢神話,EXP,DX,977707
初音ミクの激唱,EXP,STD,995770
初音ミクの消失,EXP,DX,1000770
初音ミクの消失,EXP,STD,962645
僕は空気が嫁ない,EXP,DX,1009596
デッドマンズバラッド,EXP,DX,975812
春嵐,EXP,DX,970258
ラグトレイン,EXP,DX,986343
命ばっかり,EXP,STD,1003465
いーあるふぁんくらぶ,EXP,DX,1006664
ダンスロボットダンス,EXP,STD,992766
花となれ,EXP,DX,941757
METEOR,EXP,DX,845657
ジェヘナ,EXP,DX,1007261
悪魔の踊り方,EXP,DX,1007136
ドーナツホール,EXP,STD,999118
砂の惑星 feat. HATSUNE MIKU,EXP,STD,896250
シャルル,EXP,DX,1000429
ナンセンス文学,EXP,STD,1002791
脳漿炸裂ガール,EXP,DX,981663
脳漿炸裂ガール,EXP,STD,1003826
カゲロウデイズ,EXP,STD,1001578
ウミユリ海底譚,EXP,STD,1009687
ロールプレイングゲーム,EXP,STD,974816
リモコン,EXP,DX,1009444
セツナトリップ,EXP,DX,878409
セツナトリップ,EXP,STD,994774
おこちゃま戦争,EXP,STD,865449
六兆年と一夜物語,EXP,DX,913893
六兆年と一夜物語,EXP,STD,1007899
インビジブル,EXP,STD,980967
拝啓ドッペルゲンガー,EXP,STD,986349
Hand in Hand,EXP,STD,966028
Sweet Devil,EXP,STD,1008075
サヨナラチェーンソー,EXP,DX,962991
クローバー♣クラブ,EXP,STD,1010000
天ノ弱,EXP,STD,998403
ブリキノダンス,EXP,STD,989327
ロストワンの号哭,EXP,STD,1009250
赤心性：カマトト荒療治,EXP,STD,1009739
みくみくにしてあげる♪【してやんよ】,EXP,STD,1007938
Nyan Cat EX,EXP,STD,980460
どういうことなの！？,EXP,STD,1009444
どうしてこうなった,EXP,STD,1006824
デッドレッドガールズ,EXP,STD,1010000
Re:Unknown X,EXP,DX,1004522
悪戯センセーション,EXP,DX,983313
インターネットサバイバー,EXP,DX,1008670
リスペク風神,EXP,DX,1003978
イヤホンロマンス,EXP,DX,1009157
ナイト・オブ・ナイツ,EXP,DX,1007486
ナイト・オブ・ナイツ,EXP,STD,979633
最終鬼畜妹フランドール・S,EXP,STD,989288
最終鬼畜妹・一部声,EXP,STD,1008846
Yet Another ”drizzly rain”,EXP,STD,1009625
キャプテン・ムラサのケツアンカー,EXP,STD,1009605
つるぺったん,EXP,DX,1009875
ケロ⑨destiny,EXP,STD,1008122
神々が恋した幻想郷,EXP,DX,1007561
紅星ミゼラブル～廃憶編,EXP,DX,1009047
響縁,EXP,STD,1009821
Bad Apple!! feat.nomico,EXP,STD,946727
東方スイーツ！～鬼畜姉妹と受難メイド～,EXP,STD,1010000
ってゐ！ ～えいえんてゐVer～,EXP,STD,1009090
四次元跳躍機関,EXP,STD,1009609
Destined Marionette,EXP,DX,1008331
MYTH Re：LEASE,EXP,DX,1007584
QUATTUORUX,EXP,DX,1002210
INFiNiTE ENERZY -Overdoze-,EXP,DX,1008988
神威,EXP,DX,981778
ozma,EXP,DX,952534
月面基地,EXP,DX,986815
"Good Bye, Mr. Jack",EXP,STD,988846
麒麟,EXP,STD,992707
with U,EXP,DX,976433
Love Kills U,EXP,DX,991620
DANGEROOOOUS JUNGLE,EXP,DX,1004501
天使光輪,EXP,DX,997034
Let you DIVE!,EXP,DX,1003387
Lost Desire,EXP,DX,988941
Cyaegha,EXP,DX,991670
ULTRA SYNERGY MATRIX,EXP,DX,988502
ENERGY SYNERGY MATRIX,EXP,DX,742311
ENERGY SYNERGY MATRIX,EXP,STD,1005297
PUPA,EXP,DX,987683
竹,EXP,DX,985021
プナイプナイせんそう,EXP,DX,965436
れっつ！みらくる☆はーどこあっ！,EXP,DX,993212
Grievous Lady,EXP,DX,988823
FREEDOM DiVE (tpz Overcute Remix),EXP,STD,1005345
Knight Rider,EXP,DX,1006097
BULK UP (GAME EXCLUSIVE EDIT),EXP,DX,1008253
Vallista,EXP,DX,1003187
ベースラインやってる？笑,EXP,DX,993579
MAGENTA POTION,EXP,DX,1008419
エナドリおいしいソング,EXP,DX,1008860
Love's Theme of BADASS ～バッド・アス 愛のテーマ～,EXP,DX,991568
Southern Cross,EXP,DX,938010
スーパーシンメトリー,EXP,DX,1008823
ヒステリックナイトガール,EXP,DX,1009582
MOBILYS,EXP,DX,1008674
Brain Power,EXP,STD,957696
Re：End of a Dream,EXP,DX,1004877
もぺもぺ,EXP,DX,914806
Arty Party,EXP,DX,961018
アトロポスと最果の探究者,EXP,DX,985251
End Time,EXP,STD,1001556
Credits,EXP,STD,942304
魔法少女になるしかねぇ,EXP,STD,1009629
Maxi,EXP,STD,1005708
conflict,EXP,STD,993467
L9,EXP,STD,1007544
Shooting Shower～DANCE TIME(シンディ)～,EXP,DX,1009400
時空を超えて久しぶり！,EXP,STD,907320
Mysterious Destiny,EXP,STD,995813
ばかみたい【Taxi Driver Edition】,EXP,DX,989365
パーフェクション,EXP,DX,943884
アンビバレンス,EXP,DX,1009375
空威張りビヘイビア,EXP,STD,959278
Barbed Eye,EXP,STD,988365
言ノ葉遊戯,EXP,STD,953418
悪戯,EXP,STD,1008834
のじゃロリック,EXP,DX,1008609
NOIZY BOUNCE,EXP,DX,1002984
ミルキースター・シューティングスター,EXP,DX,927034
サンバディ！,EXP,DX,1006630
リフヴェイン,EXP,DX,1009237
ツムギボシ,EXP,DX,1003907
Rainbow Rush Story,EXP,DX,996250
Jouez Avec Moi?,EXP,DX,973664
とびだせ！TO THE COSMIC!!,EXP,DX,996666
VANTABLACK RAVER,EXP,DX,979458
Paradisoda,EXP,DX,994887
マイオドレ！舞舞タイム,EXP,DX,918638
ぼくたちいつでも　しゅわっしゅわ！,EXP,DX,976834
シエルブルーマルシェ,EXP,DX,1007651
でらっくmaimai♪てんてこまい!,EXP,DX,1001871
OTOGEMA,EXP,DX,997473
みんなのマイマイマー,EXP,STD,969252
welcome to maimai!! with マイマイマー,EXP,STD,1009781
アージェントシンメトリー,EXP,STD,1009093
ナミダと流星,EXP,STD,1006607
QuiQ,EXP,DX,1008005
Valsqotch,EXP,DX,985240
封焔の135秒,EXP,DX,995468
Divide et impera!,EXP,DX,1004280
TEmPTaTiON,EXP,DX,988061
WiPE OUT MEMORIES,EXP,DX,995508
QZKago Requiem,EXP,STD,998115
Our Wrenally,EXP,STD,989104
Contrapasso -paradiso-,EXP,STD,1000137
Oshama Scramble!,EXP,STD,1008198
Garakuta Doll Play,EXP,STD,998630
IF:U,EXP,DX,1005783
RondeauX of RagnaroQ,EXP,DX,1005982
Straight into the lights,EXP,DX,1005274
The Great Banquet,EXP,DX,1005542
Latent Kingdom,EXP,DX,1006960
Horoscope Express,EXP,DX,971858
raputa,EXP,DX,1005873
モ°ルモ°ル,EXP,DX,964252
the EmpErroR,EXP,STD,971982
ガラテアの螺旋,EXP,STD,1003492
Party☆People☆Princess,EXP,DX,1006512
Redemption,EXP,DX,993864
KHYMΞXΛ,EXP,DX,994781
ぽわわん劇場,EXP,DX,970455
渦状銀河のシンフォニエッタ,EXP,DX,1007336
enchanted wanderer,EXP,DX,998145
Comet Panto Men!,EXP,DX,1001925
VeRForTe αRtE:VEiN,EXP,DX,1008174
ここからはじまるプロローグ。 (Kanon Remix),EXP,DX,1010000
モ°ルモ°ル (MZK Skippin' Remix),EXP,DX,999529
VERTeX (rintaro soma deconstructed remix),EXP,DX,975360
VIIIbit Explorer,EXP,DX,1004971
VIIIbit Explorer,EXP,STD,996416
Neon Kingdom,EXP,DX,973096
康莊大道,EXP,DX,985442
N3V3R G3T OV3R,EXP,DX,971241
HAGAKIRI,EXP,DX,992971
Metamorphosism,EXP,DX,1002287
PANDORA PARADOXXX,EXP,STD,994768
天火明命,EXP,STD,1005369
World's end loneliness,EXP,DX,1004237
GIGANTØMAKHIA,EXP,DX,1007524
BREaK! BREaK! BREaK!,EXP,DX,1001974
Raven Emperor,EXP,DX,993750
Round Round Spinning Around,EXP,DX,1010000
Lia=Fail,EXP,DX,1004335
華の集落、秋のお届け,EXP,DX,1009464
星詠みとデスペラード,EXP,DX,1005584
NAGAREBOSHI☆ROCKET,EXP,DX,1005398
躯樹の墓守,EXP,DX,992704
Alea jacta est!,EXP,STD,991990
Xenovcipher,EXP,DX,983387
Glorious Crown,EXP,STD,999473
Aiolos,EXP,STD,1007731
時計の国のジェミニ,EXP,DX,970841
Boys O’Clock,EXP,DX,948135
Komplexe,EXP,DX,983807
"≠彡""/了→",EXP,DX,972281
GRÄNDIR,EXP,DX,933108
Axeria,EXP,STD,1002292
Streak,EXP,STD,1005755
Turn around,EXP,STD,993709
D✪N’T  ST✪P  R✪CKIN’,EXP,STD,1008308
System “Z”,EXP,STD,860077
Mare Maris,EXP,STD,984615
Signature,EXP,STD,981994
LANCE,EXP,STD,1006683
AMAZING MIGHTYYYY!!!!,EXP,STD,909701
高気圧ねこロック,EXP,STD,894556
ℝ∈Χ LUNATiCA,EXP,DX,1007263
ViRTUS,EXP,DX,997557
sølips,EXP,DX,980251
系ぎて,EXP,DX,994601
Transcend Lights,EXP,DX,989083
撩乱乙女†無双劇,EXP,DX,996564
ポケットからぬりつぶせ！,EXP,DX,1005684
MarbleBlue.,EXP,DX,1000720
Apollo,EXP,DX,982604
LAMIA,EXP,DX,1006691
Titania,EXP,DX,997349
YURUSHITE,EXP,DX,1000724
Desperado Waltz,EXP,DX,844355
BOUNCE & DANCE,EXP,DX,981698
MEGATON BLAST,EXP,DX,932910
LiftOff,EXP,DX,964391
See The Light,EXP,DX,1003733
"Good bye, Merry-Go-Round.",EXP,DX,1008632
Don't Fight The Music,EXP,DX,1006237
Change Our MIRAI！,EXP,STD,1009248
なるとなぎのパーフェクトロックンロール教室,EXP,STD,881379
DETARAME ROCK&ROLL THEORY,EXP,STD,954824
Λzure Vixen,EXP,DX,1005350
SQUAD-Phvntom-,EXP,DX,996730
Trrricksters!!,EXP,DX,1004728
蜘蛛の糸,EXP,DX,988550
ピュグマリオンの咒文,EXP,DX,1008719
folern,EXP,DX,1009256
PinqPiq (xovevox Remix),EXP,DX,1009779
ハードコア・シンドローム,EXP,DX,993719
The wheel to the right,EXP,STD,1007234
光線チューニング,EXP,STD,993620
World Vanquisher,EXP,STD,989577
Xevel,EXP,STD,997914
My First Phone,EXP,STD,983827
怒槌,EXP,STD,989532
エンドマークに希望と涙を添えて,EXP,STD,990405
